label,review
1,很快，好吃，味道足，量大
1,没有送水没有送水没有送水
1,方便，快捷，味道可口，快递给力
1,经过上次晚了2小时，这次超级快，20分钟就送到了……
1,量大，好吃，每次点的都够吃两次
1,挺辣的，吃着还可以吧
1,味道好，送餐快，分量足
1,特别好吃，量特大，而且送餐特别快，特别特别棒
1,很方便，很快就送到了。棒
1,好吃，总点，这么多够五个人吃。送的很快。
1,"送餐特别快,态度好,非常感谢"
1,味道不错，份量很足，建议都点小份。红薯超好吃就是太烂了容易碎
1,非常好吃，味道也很香，推荐！
1,挺不错的！
1,鱼豆腐有异味儿，有点腻。
1,东西还可以，但是没有在店里吃的好吃
1,"很香,很好吃"
1,"很好,送餐员也很好"
1,一个小时送到的，很好吃，但是点了平菇怎么没给
1,炒饭有点儿油，不过菜还是很好的
1,量很多，就是尖椒豆腐皮的味道差点，不是尖椒，是大海椒，一点辣味都没有呢！
1,不错啊很好吃哦！送的好快态度很好
1,不错，好吃，两个人没吃完，还会光顾！
1,空心菜份量少了点，汤不错
1,口味不错服务态度好感谢你们
1,好服务，就是习惯百度外卖的快速
1,口感好其他的不能比我喜欢
1,不错啊。快递很快，奶茶也还行。
1,送餐很快，这么冷的天气辛苦了
1,在这样寒冷大风的天气里，等了一下午的奶茶终于到了，已经从热的变成凉的了。但仍感谢骑士的敬业精神！
1,"大风天,不容易,非常好"
1,"喝了好几年快乐柠檬,第一次喝曲奇奶茶,个人觉得不好喝,本人还是更喜欢茶类冰饮,给配送员赞一个,大冬天的"
1,送餐很快，这么冷的天辛苦了
1,大哥很热情！不错!好评
1,大满贯奶茶！超大杯！
1,"非常好,相当棒,很快，味道好好"
1,"一直很喜欢他家的东西,味好,便宜"
1,不错不错，快递师傅也给力
1,"送货态度非常好，提前了20多分钟，送得非常快，百度配送，靠谱！,奶茶一如既往的好喝，棒棒哒～"
1,嘿嘿把不错不错吧吧吧吧吧
1,好好好！赞赞赞！态度好速度快！
1,师傅人很好，服务很好，送得快~好评
1,就是配送大哥忘记给我拿吸管了⋯⋯其他都很棒。
1,太赞了我家没电梯还能送这么快好感动
1,菠萝冻过甜，柠檬冰冻也不太好，但大满贯一如既往的好
1,"挺好的,辛苦了"
1,喜欢。明天还会点。！！
1,超级好喝，快递小哥非常给力。
1,好喝哦，但今晚我们作死点的无糖，感觉好酸，友情提示减肥的朋友点半糖
1,送餐员态度很好！辛苦啦！奶茶味道棒，谁让我是个奶茶控几乎天天喝…
1,好喝！味道超赞！送餐员也很准时！
1,很不错，速度也很快。
1,大冷天的，快递小哥跟热情，准时，辛苦辛苦，很感谢
1,都好喝。烤珍珠尤其好喝
1,美味，及时，经常订，希望优惠力度再大些
1,"快递员态度好,速度也很快"
1,大冷天的，送餐员辛苦了
1,几乎每天都喝！…………
1,奶茶超级好喝，喝了好多次了
1,他家的奶茶超级好喝。。。
1,超级好喝的奶茶。。。
1,速度很快，唯一不足就是第一次下单莫名的失败了。。。
1,奶茶很好喝，快递小哥也超给力！赞一个，辛苦了。
1,"有效率,非常好"
1,超快！服务好热情
1,❀⚘送༵来༵不༵是༵很༵凉༵了༵但༵味༵道༵还༵是༵不༵错༵的༵⚘❀
1,几乎天天都喝
1,奶茶很好喝，快递员也特别好
1,"师傅相当神速啊,好评！"
1,速度很快哟，女儿的岩盐芝士可可有点咸哈哈，我的的大满贯还是比较赞滴！
1,每天都会买上几杯，快递非常棒
1,一如既往的好
1,超级超级好
1,好喝～不用去外面买了～
1,挺快的，好
1,谢谢外送人员。在雨天的家里还能喝到快乐柠檬
1,挺好的！下次还定！辛苦送餐小哥
1,送餐小哥真快，菜也很好吃
1,态度很好，效率很高，给十分赞
1,每次量都很足哈！超级赞，好吃
1,服务热情，送餐高效，很满意
1,味道不错，挺讲究的，私房豆腐很好吃
1,"百度外卖，赞。,菜不错就是请注意包装。"
1,那个汤的味道是真心的接受不了，其他的还好，味道比较不错。
1,不很好吃，微辣就是一点都不辣
1,少一盒米饭，只送了三盒米饭，我要了四盒
1,味道很好，服务很快，值得拥有
1,味道很好，可惜吉野家的量一直不太多
1,到的时候饭饭热乎的呢！又快又好，大冷天的真辛苦，感谢！
1,服务和味道都是不错的
1,外卖小哥送的很及时，服务态度很好。给个赞！
1,配送很快，师傅态度很赞。非常感谢百度外卖！
1,快递员辛苦了，菜品也不错
1,送餐的哥哥好快呀，态度超好，这大冷天的真是辛苦了
1,味道很好，米饭软硬也刚刚好。
1,"特别快,感觉定完没几分钟就来了,送餐小哥很细心,赞一个"
1,送餐小哥很不错，很有礼貌啊！
1,挺好，速度快
1,好吃，好吃，好吃，重要的事情说三遍。
1,不错的一家小店噢，以后会经常光顾的，推荐黄焖鸡～
1,"非常好吃,量也大,送餐小哥工作认真负责,棒棒哒~"
1,送餐员王昭晖很努力，态度很好，好评
1,小哥态度特别好。东西也不错
1,非常不错！！！味道很好，很快
1,味道蛮好的，鸡蛋煎成了花的形状好可爱
1,送餐小哥好帅好帅！！他说希望给好评那就一定是好评好评！！
1,虽然第一次少发了，联系了店家又马上补了一份，很好
